"CellCharter_3"	"CellCharter_4"	"CellCharter_5"	"CellCharter_6"	"CellCharter_7"	"CellCharter_8"	"CellCharter_9"	"CellCharter_10"	"SCANIT_3"	"SCANIT_4"	"SCANIT_5"	"SCANIT_6"	"SCANIT_7"	"SCANIT_8"	"SCANIT_9"	"SCANIT_10"	"SEDR_3"	"SEDR_4"	"SEDR_5"	"SEDR_6"	"SEDR_7"	"SEDR_8"	"SEDR_9"	"SEDR_10"	"SpaceFlow_3"	"SpaceFlow_4"	"SpaceFlow_5"	"SpaceFlow_6"	"SpaceFlow_7"	"SpaceFlow_8"	"SpaceFlow_9"	"SpaceFlow_10"	"x"	"y"	"X"	"label"	"label_old"
"DX1_8H_201_155"	1	2	2	2	2	1	1	1	0	2	1	0	1	0	5	3	1	1	4	4	4	4	4	4	1	0	1	0	0	0	1	7	229	-24	"DX1_8H_201_155"	"periportal"	"Layer 7"
"DX1_8H_129_101"	0	0	0	5	5	2	2	2	1	1	2	3	5	1	6	2	2	2	2	2	7	8	9	10	0	1	0	1	3	4	4	4	157	-78	"DX1_8H_129_101"	"pericentral"	"Layer 1"
"DX1_8H_142_119"	0	0	3	3	0	3	3	3	1	0	0	3	5	1	6	0	2	2	2	2	2	2	2	2	0	1	0	1	3	4	4	6	170	-60	"DX1_8H_142_119"	"pericentral"	"Layer 1"
"DX1_8H_260_154"	0	0	0	5	5	2	2	2	2	0	0	5	4	2	2	0	2	2	2	2	7	8	9	10	0	2	4	4	1	4	4	4	288	-25	"DX1_8H_260_154"	"pericentral"	"Layer 1"
"DX1_8H_237_119"	1	3	4	0	1	3	8	3	2	0	0	1	3	4	0	4	1	1	1	1	1	1	1	1	2	0	2	2	5	2	3	1	265	-60	"DX1_8H_237_119"	"midzonal"	"Layer 4"
"DX1_8H_129_98"	1	3	4	0	0	3	3	3	1	1	2	3	5	1	6	2	1	3	3	1	3	3	6	6	2	1	2	2	1	3	2	5	157	-81	"DX1_8H_129_98"	"midzonal"	"Layer 4"
"DX1_8H_230_104"	1	2	2	2	2	1	5	5	0	2	1	0	2	0	1	1	1	1	4	4	4	4	4	4	1	0	1	0	0	0	1	0	258	-75	"DX1_8H_230_104"	"periportal"	"Layer 9"
"DX1_8H_273_240"	0	3	3	3	3	7	7	7	0	3	3	4	6	5	4	8	1	3	1	1	1	1	6	6	0	1	0	5	4	5	6	8	301	61	"DX1_8H_273_240"	"midzonal"	"Layer 3"
"DX1_8H_152_229"	2	3	3	3	3	7	7	7	1	1	4	2	0	3	3	9	1	3	1	1	1	1	6	6	0	1	0	1	4	1	5	2	180	50	"DX1_8H_152_229"	"midzonal"	"Layer 3"
"DX1_8H_188_77"	0	0	0	5	0	3	3	3	2	0	0	5	4	2	2	0	1	3	3	1	3	3	3	6	2	2	4	4	1	3	2	6	216	-102	"DX1_8H_188_77"	"midzonal"	"Layer 3"
"DX1_8H_177_245"	2	1	1	4	6	4	4	6	0	2	1	0	2	0	5	1	1	1	4	4	4	4	4	4	1	0	1	0	0	0	1	7	205	66	"DX1_8H_177_245"	"periportal"	"Layer 9"
"DX1_8H_275_216"	1	2	2	2	2	1	1	1	0	2	1	0	1	5	5	3	1	1	4	4	4	4	4	4	1	0	3	0	6	6	0	7	303	37	"DX1_8H_275_216"	"periportal"	"Layer 8"
"DX1_8H_252_198"	2	2	1	2	2	4	1	4	0	2	4	0	1	6	7	3	1	1	4	5	5	7	8	8	1	3	3	3	2	7	0	3	280	19	"DX1_8H_252_198"	"midzonal"	"Layer 6"
"DX1_8H_157_232"	1	2	1	4	6	4	4	4	1	1	2	2	0	3	3	5	1	1	4	4	4	4	4	4	1	3	3	3	6	7	0	7	185	53	"DX1_8H_157_232"	"periportal"	"Layer 8"
"DX1_8H_221_251"	2	1	1	1	4	0	6	9	2	0	2	3	5	1	6	7	2	2	2	2	2	2	2	2	0	1	0	1	3	1	7	5	249	72	"DX1_8H_221_251"	"pericentral"	"Layer 1"
"DX1_8H_216_270"	0	3	3	3	3	7	7	7	0	3	3	4	6	5	4	8	1	3	3	3	3	3	3	3	0	1	0	5	4	5	6	9	244	91	"DX1_8H_216_270"	"pericentral"	"Layer 1"
"DX1_8H_204_218"	0	3	4	0	0	3	3	3	2	0	0	5	4	2	2	7	1	3	3	3	3	3	3	3	2	2	0	1	1	3	2	6	232	39	"DX1_8H_204_218"	"pericentral"	"Layer 2"
"DX1_8H_147_95"	0	0	0	5	5	2	2	2	2	0	0	5	4	2	2	0	2	2	2	2	7	8	9	10	0	2	0	1	3	4	4	4	175	-84	"DX1_8H_147_95"	"pericentral"	"Layer 1"
"DX1_8H_288_141"	2	1	3	3	3	7	7	7	0	3	3	4	6	5	4	6	1	1	4	5	5	7	8	8	0	1	0	5	4	5	5	8	316	-38	"DX1_8H_288_141"	"periportal"	"Layer 9"
"DX1_8H_209_202"	1	2	4	0	1	5	8	8	2	0	0	1	3	4	0	7	1	1	4	4	4	4	4	4	1	0	2	0	5	2	3	1	237	23	"DX1_8H_209_202"	"midzonal"	"Layer 6"
"DX1_8H_276_205"	0	0	0	5	0	3	3	3	2	3	3	4	6	7	4	6	2	3	3	3	2	2	2	3	2	2	4	4	1	3	2	6	304	26	"DX1_8H_276_205"	"pericentral"	"Layer 2"
"DX1_8H_179_266"	1	2	2	2	2	4	5	4	0	2	1	0	2	0	1	1	1	1	4	4	4	4	4	4	1	0	1	0	0	0	1	0	207	87	"DX1_8H_179_266"	"periportal"	"Layer 8"
"DX1_8H_140_100"	1	2	2	2	2	4	5	5	0	2	4	0	1	6	5	3	1	1	4	4	4	4	8	8	1	0	3	0	6	6	0	7	168	-79	"DX1_8H_140_100"	"periportal"	"Layer 8"
"DX1_8H_246_169"	1	3	4	0	1	5	8	8	2	0	0	1	3	4	0	4	1	3	1	1	1	1	1	1	2	0	2	2	5	2	3	1	274	-10	"DX1_8H_246_169"	"midzonal"	"Layer 4"
"DX1_8H_181_249"	1	2	4	0	1	5	8	8	2	0	0	1	3	4	0	4	1	1	4	4	4	4	4	4	1	0	1	0	0	0	3	0	209	70	"DX1_8H_181_249"	"periportal"	"Layer 8"
"DX1_8H_136_193"	0	3	3	4	3	0	0	0	1	1	2	2	0	3	3	9	1	3	3	3	3	3	3	3	0	1	0	1	3	1	7	5	164	14	"DX1_8H_136_193"	"midzonal"	"Layer 3"
"DX1_8H_213_126"	0	0	0	5	5	2	2	2	2	0	3	4	6	7	4	6	2	2	2	2	7	8	9	2	0	2	4	4	1	4	4	4	241	-53	"DX1_8H_213_126"	"pericentral"	"Layer 2"
"DX1_8H_143_192"	1	2	1	4	1	4	0	9	1	1	4	2	0	3	3	9	1	3	1	1	1	1	6	6	0	1	0	1	2	1	5	2	171	13	"DX1_8H_143_192"	"midzonal"	"Layer 5"
"DX1_8H_157_77"	0	0	3	3	3	2	7	2	0	3	3	4	6	5	4	8	2	2	2	2	7	8	9	10	0	1	0	1	4	5	6	4	185	-102	"DX1_8H_157_77"	"pericentral"	"Layer 1"
"DX1_8H_196_228"	1	2	2	2	2	4	5	4	0	2	1	0	2	0	5	3	1	1	4	4	4	4	4	4	1	0	3	0	6	6	0	7	224	49	"DX1_8H_196_228"	"periportal"	"Layer 8"
"DX1_8H_179_237"	2	1	1	1	4	6	4	6	1	1	4	2	1	6	7	5	1	1	4	4	4	4	4	4	1	3	3	3	6	6	0	7	207	58	"DX1_8H_179_237"	"periportal"	"Layer 9"
"DX1_8H_130_113"	2	1	1	4	6	4	0	4	1	1	2	2	0	3	3	5	1	1	4	4	4	4	4	4	1	3	3	3	2	7	0	3	158	-66	"DX1_8H_130_113"	"periportal"	"Layer 7"
"DX1_8H_150_205"	0	0	0	5	0	2	2	0	1	1	4	3	0	3	3	9	2	2	2	2	2	2	2	2	0	1	0	1	3	4	4	4	178	26	"DX1_8H_150_205"	"pericentral"	"Layer 1"
"DX1_8H_176_135"	1	2	2	2	2	1	1	5	0	2	1	0	2	0	1	1	1	1	4	4	5	7	8	8	1	0	1	0	0	0	1	0	204	-44	"DX1_8H_176_135"	"periportal"	"Layer 7"
"DX1_8H_169_151"	0	0	0	5	5	2	2	2	1	0	2	3	5	1	6	7	2	2	3	3	2	2	3	3	0	1	0	1	3	1	7	5	197	-28	"DX1_8H_169_151"	"midzonal"	"Layer 3"
"DX1_8H_181_138"	0	0	0	5	5	2	2	2	2	0	2	3	5	1	6	7	2	2	2	3	2	2	2	2	0	1	0	1	3	4	4	4	209	-41	"DX1_8H_181_138"	"pericentral"	"Layer 1"
"DX1_8H_194_99"	1	3	4	0	1	5	8	5	2	0	0	1	3	4	0	0	1	1	1	1	1	1	1	1	2	2	2	2	5	2	2	1	222	-80	"DX1_8H_194_99"	"midzonal"	"Layer 3"
"DX1_8H_160_170"	1	3	4	0	0	3	3	3	1	1	2	3	5	1	6	2	2	3	3	3	2	2	3	3	0	1	0	1	3	1	7	5	188	-9	"DX1_8H_160_170"	"pericentral"	"Layer 2"
"DX1_8H_105_113"	2	1	1	1	6	6	4	6	1	1	4	2	0	3	7	5	1	1	4	4	4	5	5	5	1	3	3	3	6	6	0	3	133	-66	"DX1_8H_105_113"	"periportal"	"Layer 9"
"DX1_8H_293_199"	2	1	2	2	2	1	1	1	0	2	1	0	1	0	5	3	1	1	4	4	4	4	4	4	1	0	1	0	0	0	1	0	321	20	"DX1_8H_293_199"	"periportal"	"Layer 9"
"DX1_8H_201_122"	1	2	4	2	1	5	8	8	0	2	1	0	1	0	5	3	1	1	1	5	5	7	8	8	1	0	1	0	0	2	3	0	229	-57	"DX1_8H_201_122"	"midzonal"	"Layer 6"
"DX1_8H_213_245"	1	2	2	2	2	1	5	5	0	2	1	0	2	0	5	3	1	1	4	4	4	4	4	4	1	0	1	0	0	0	1	0	241	66	"DX1_8H_213_245"	"periportal"	"Layer 7"
"DX1_8H_218_106"	2	2	2	2	2	1	1	1	0	2	1	0	1	0	5	3	1	1	4	4	5	7	8	8	1	0	3	0	6	6	0	7	246	-73	"DX1_8H_218_106"	"midzonal"	"Layer 6"
"DX1_8H_144_257"	2	1	3	3	3	7	7	7	1	1	4	2	0	3	3	9	2	3	3	3	3	3	3	3	0	1	0	1	2	1	5	2	172	78	"DX1_8H_144_257"	"pericentral"	"Layer 2"
"DX1_8H_210_234"	2	2	2	2	2	4	1	4	0	2	1	0	2	0	5	3	1	1	4	4	4	4	4	4	1	0	3	0	6	6	0	7	238	55	"DX1_8H_210_234"	"periportal"	"Layer 8"
"DX1_8H_224_229"	0	0	0	5	5	2	2	2	1	1	2	3	5	1	6	2	2	2	2	2	7	8	2	2	0	1	0	1	3	4	4	4	252	50	"DX1_8H_224_229"	"pericentral"	"Layer 1"
"DX1_8H_135_126"	1	3	3	3	0	3	3	8	1	0	0	3	5	1	6	7	1	3	3	3	3	3	3	3	2	2	2	2	1	3	2	5	163	-53	"DX1_8H_135_126"	"midzonal"	"Layer 3"
"DX1_8H_177_266"	1	2	2	2	2	4	5	4	0	2	1	0	2	0	1	1	1	1	4	4	4	4	4	4	1	0	1	0	0	0	1	0	205	87	"DX1_8H_177_266"	"periportal"	"Layer 9"
"DX1_8H_143_158"	0	0	0	5	0	3	3	2	1	1	2	3	5	1	6	2	2	2	2	2	2	2	2	2	0	1	0	1	3	4	7	5	171	-21	"DX1_8H_143_158"	"pericentral"	"Layer 2"
"DX1_8H_271_219"	1	2	2	2	2	1	1	1	0	2	1	0	2	0	1	1	1	1	4	4	4	4	4	4	1	0	1	0	0	0	1	0	299	40	"DX1_8H_271_219"	"periportal"	"Layer 9"
"DX1_8H_238_162"	1	3	4	0	1	5	8	8	2	0	0	1	3	4	0	4	1	1	1	1	1	1	1	1	2	2	2	2	5	2	2	1	266	-17	"DX1_8H_238_162"	"midzonal"	"Layer 5"
"DX1_8H_283_181"	2	1	1	1	4	6	4	6	0	2	1	0	1	0	5	3	1	1	4	4	4	4	4	8	1	3	3	3	6	6	0	7	311	2	"DX1_8H_283_181"	"periportal"	"Layer 8"
"DX1_8H_169_182"	1	2	3	4	6	4	0	4	1	1	4	2	0	3	8	9	1	1	4	5	5	7	8	8	1	0	3	0	4	5	6	9	197	3	"DX1_8H_169_182"	"periportal"	"Layer 7"
"DX1_8H_161_179"	1	3	4	0	0	3	3	8	1	1	2	3	5	1	3	2	1	3	3	3	3	3	3	3	0	1	0	1	3	1	7	5	189	0	"DX1_8H_161_179"	"midzonal"	"Layer 3"
"DX1_8H_234_165"	1	2	4	0	1	5	8	8	2	0	0	1	3	4	0	4	1	1	1	5	5	7	8	8	2	0	2	2	5	2	3	1	262	-14	"DX1_8H_234_165"	"periportal"	"Layer 7"
"DX1_8H_244_220"	0	0	0	5	5	2	2	2	1	0	2	3	5	1	6	7	2	2	2	2	2	2	2	2	0	1	0	1	3	4	4	4	272	41	"DX1_8H_244_220"	"pericentral"	"Layer 1"
"DX1_8H_195_181"	1	3	4	0	1	5	8	8	1	1	2	3	5	1	6	7	1	1	1	5	5	7	1	1	2	3	2	2	2	7	7	5	223	2	"DX1_8H_195_181"	"midzonal"	"Layer 6"
"DX1_8H_274_134"	1	2	2	2	2	1	5	5	2	0	0	1	3	4	0	4	1	1	4	5	5	7	8	8	2	0	2	2	5	2	3	1	302	-45	"DX1_8H_274_134"	"midzonal"	"Layer 6"
"DX1_8H_227_266"	2	1	3	3	3	7	7	7	0	3	3	4	6	5	4	8	1	1	1	1	1	1	1	1	0	1	0	5	4	5	6	8	255	87	"DX1_8H_227_266"	"midzonal"	"Layer 5"
"DX1_8H_165_212"	1	2	2	4	6	4	0	4	1	1	2	3	0	3	3	5	1	1	4	4	4	4	4	4	1	3	3	3	0	7	0	0	193	33	"DX1_8H_165_212"	"periportal"	"Layer 9"
"DX1_8H_251_229"	0	3	4	0	0	3	8	3	2	0	0	1	4	2	2	0	1	3	3	3	3	3	3	3	2	2	2	4	1	3	2	6	279	50	"DX1_8H_251_229"	"midzonal"	"Layer 3"
"DX1_8H_209_242"	1	2	2	2	1	5	5	8	0	2	1	0	2	0	1	1	1	1	4	4	4	4	4	4	1	0	1	0	0	0	1	0	237	63	"DX1_8H_209_242"	"periportal"	"Layer 9"
"DX1_8H_288_175"	2	1	1	1	4	0	6	9	0	3	3	4	1	5	8	8	3	4	5	6	6	6	7	7	0	1	0	5	4	5	5	2	316	-4	"DX1_8H_288_175"	"midzonal"	"Layer 5"
"DX1_8H_121_122"	2	1	1	4	6	4	4	6	1	1	2	2	0	3	3	5	1	1	4	4	5	7	8	8	1	3	3	3	2	7	0	3	149	-57	"DX1_8H_121_122"	"periportal"	"Layer 7"
"DX1_8H_176_196"	1	2	4	4	6	4	0	4	1	1	2	3	0	1	3	2	1	1	1	5	5	7	1	1	0	3	0	1	2	1	5	2	204	17	"DX1_8H_176_196"	"midzonal"	"Layer 6"
"DX1_8H_169_196"	1	2	4	0	1	5	8	4	1	1	2	2	0	3	3	2	1	1	4	5	5	7	8	8	1	3	3	3	2	7	0	3	197	17	"DX1_8H_169_196"	"midzonal"	"Layer 6"
"DX1_8H_278_191"	2	1	2	2	2	1	1	1	0	2	1	0	2	0	1	1	1	1	4	4	4	4	4	4	1	0	1	0	0	0	1	0	306	12	"DX1_8H_278_191"	"periportal"	"Layer 9"
"DX1_8H_104_106"	2	3	3	4	6	7	0	7	1	1	2	3	5	1	3	2	1	3	3	1	3	3	6	6	0	1	0	1	4	1	5	2	132	-73	"DX1_8H_104_106"	"midzonal"	"Layer 3"
"DX1_8H_292_160"	0	0	0	5	5	2	2	2	0	3	3	4	6	7	4	6	2	2	2	2	7	8	9	10	0	1	0	1	3	4	4	4	320	-19	"DX1_8H_292_160"	"pericentral"	"Layer 1"
"DX1_8H_247_204"	1	2	2	2	2	1	1	1	0	2	1	0	2	0	1	1	1	1	4	4	4	4	4	4	1	0	1	0	6	6	1	7	275	25	"DX1_8H_247_204"	"periportal"	"Layer 7"
"DX1_8H_255_188"	1	2	2	2	2	1	1	1	0	2	1	0	2	0	1	1	1	1	4	4	4	4	4	4	1	0	1	0	0	0	1	0	283	9	"DX1_8H_255_188"	"periportal"	"Layer 8"
"DX1_8H_132_177"	2	2	1	4	6	4	0	4	1	1	4	2	0	3	3	9	1	1	1	1	1	1	1	1	0	1	0	1	2	1	5	2	160	-2	"DX1_8H_132_177"	"midzonal"	"Layer 4"
"DX1_8H_113_127"	1	3	4	0	0	3	3	3	1	1	2	3	5	1	6	2	1	3	3	3	3	3	3	3	0	1	0	1	3	1	7	5	141	-52	"DX1_8H_113_127"	"midzonal"	"Layer 3"
"DX1_8H_136_218"	2	1	3	3	3	7	7	7	1	1	4	2	0	3	8	9	1	1	4	4	4	4	4	4	0	1	0	5	4	1	5	2	164	39	"DX1_8H_136_218"	"periportal"	"Layer 9"
"DX1_8H_144_243"	2	1	3	3	3	0	7	0	1	1	4	2	0	3	8	9	1	3	3	1	3	3	6	6	0	1	0	1	4	1	5	2	172	64	"DX1_8H_144_243"	"midzonal"	"Layer 4"
"DX1_8H_136_90"	1	3	4	0	1	5	8	8	2	0	0	1	3	4	0	4	1	1	4	5	5	7	8	8	2	0	2	2	0	2	3	0	164	-89	"DX1_8H_136_90"	"periportal"	"Layer 8"
"DX1_8H_265_150"	0	3	4	0	0	3	3	3	2	0	0	5	4	2	2	0	2	2	2	2	2	2	2	2	0	1	0	1	1	3	2	6	293	-29	"DX1_8H_265_150"	"pericentral"	"Layer 2"
"DX1_8H_229_104"	1	2	2	2	2	1	5	5	0	2	1	0	2	0	1	1	1	1	4	4	4	4	4	4	1	0	1	0	0	0	1	0	257	-75	"DX1_8H_229_104"	"periportal"	"Layer 9"
"DX1_8H_190_260"	1	3	3	3	3	7	7	7	2	0	0	5	4	2	2	4	1	3	3	1	3	3	3	6	2	2	4	4	1	3	2	6	218	81	"DX1_8H_190_260"	"midzonal"	"Layer 4"
"DX1_8H_269_122"	1	2	2	2	2	1	1	1	0	2	1	0	1	0	5	3	1	1	4	4	4	4	4	4	1	0	3	0	6	6	0	7	297	-57	"DX1_8H_269_122"	"periportal"	"Layer 9"
"DX1_8H_110_126"	0	0	0	5	5	2	3	2	1	1	2	3	5	1	6	2	2	2	2	2	7	8	9	10	0	1	0	1	3	4	4	4	138	-53	"DX1_8H_110_126"	"pericentral"	"Layer 1"
"DX1_8H_236_117"	1	2	2	2	2	4	1	4	0	2	1	0	2	0	1	1	1	1	4	4	4	4	4	4	1	0	1	0	0	0	1	0	264	-62	"DX1_8H_236_117"	"periportal"	"Layer 9"
"DX1_8H_218_143"	1	3	4	0	1	5	8	8	2	0	0	1	3	4	0	4	1	1	1	5	5	7	1	1	2	0	2	2	5	2	3	1	246	-36	"DX1_8H_218_143"	"midzonal"	"Layer 5"
"DX1_8H_175_173"	1	2	4	0	1	5	5	8	1	1	2	3	0	1	3	2	1	1	1	5	5	7	8	8	1	3	3	3	2	7	0	3	203	-6	"DX1_8H_175_173"	"midzonal"	"Layer 6"
"DX1_8H_245_223"	0	0	0	5	5	2	2	2	2	0	0	5	4	2	6	7	2	2	2	2	2	2	2	2	0	1	0	1	3	4	4	4	273	44	"DX1_8H_245_223"	"pericentral"	"Layer 1"
"DX1_8H_205_186"	2	1	1	1	4	6	6	9	1	1	2	3	5	1	6	7	3	2	5	6	2	2	2	2	0	1	0	1	3	4	8	2	233	7	"DX1_8H_205_186"	"pericentral"	"Layer 2"
"DX1_8H_270_185"	2	2	2	2	2	1	1	1	0	2	1	0	2	0	1	1	1	1	4	4	4	4	4	4	1	0	1	0	0	0	1	0	298	6	"DX1_8H_270_185"	"periportal"	"Layer 9"
"DX1_8H_248_173"	1	2	4	0	1	5	8	8	2	0	0	1	3	4	0	4	1	1	4	5	5	7	8	8	1	0	1	0	0	0	3	0	276	-6	"DX1_8H_248_173"	"periportal"	"Layer 7"
"DX1_8H_181_262"	1	2	4	2	1	5	5	4	2	0	0	1	3	4	0	4	1	1	4	4	4	4	4	4	1	0	1	0	0	7	0	0	209	83	"DX1_8H_181_262"	"periportal"	"Layer 8"
"DX1_8H_192_160"	0	0	0	5	0	3	3	3	1	1	2	3	5	1	6	2	1	3	3	3	3	3	3	3	0	1	0	1	3	1	7	5	220	-19	"DX1_8H_192_160"	"pericentral"	"Layer 2"
"DX1_8H_167_281"	2	2	3	3	3	7	7	7	0	3	3	4	1	5	8	8	1	1	1	5	5	7	8	8	0	1	0	5	4	5	5	8	195	102	"DX1_8H_167_281"	"midzonal"	"Layer 5"
"DX1_8H_190_114"	1	3	4	0	1	5	8	8	2	0	0	1	3	4	0	4	1	3	3	1	3	3	6	6	2	2	2	2	5	2	2	1	218	-65	"DX1_8H_190_114"	"midzonal"	"Layer 4"
"DX1_8H_217_171"	1	2	2	2	2	0	1	1	0	2	1	0	1	6	5	3	1	1	4	4	5	7	8	8	1	0	3	0	6	6	0	7	245	-8	"DX1_8H_217_171"	"midzonal"	"Layer 6"
"DX1_8H_222_119"	0	0	0	5	0	3	3	3	2	0	0	5	4	2	2	0	1	3	3	3	3	3	3	3	2	2	4	4	1	3	2	6	250	-60	"DX1_8H_222_119"	"pericentral"	"Layer 2"
"DX1_8H_229_221"	1	2	2	2	2	4	1	4	1	1	2	3	0	6	3	7	1	1	4	4	4	4	4	4	1	3	3	3	6	6	0	7	257	42	"DX1_8H_229_221"	"periportal"	"Layer 7"
"DX1_8H_111_136"	1	3	4	0	0	5	0	8	1	1	2	3	5	1	3	2	1	1	1	5	1	7	1	1	2	3	2	2	2	7	7	5	139	-43	"DX1_8H_111_136"	"midzonal"	"Layer 6"
"DX1_8H_134_147"	1	2	1	4	6	4	0	4	1	1	2	3	0	1	3	2	1	1	4	5	5	7	8	8	1	3	3	3	2	7	0	3	162	-32	"DX1_8H_134_147"	"midzonal"	"Layer 5"
"DX1_8H_238_98"	1	2	4	0	1	5	5	5	0	2	1	0	2	0	1	1	1	1	4	4	4	4	4	4	1	0	2	2	5	2	3	0	266	-81	"DX1_8H_238_98"	"periportal"	"Layer 9"
"DX1_8H_243_225"	2	1	1	1	4	6	6	9	1	0	2	3	5	6	6	7	1	3	1	1	1	1	1	1	0	1	0	1	2	1	5	2	271	46	"DX1_8H_243_225"	"midzonal"	"Layer 4"
"DX1_8H_143_88"	0	3	4	0	0	3	3	3	2	0	0	1	3	4	0	0	1	3	3	3	3	3	3	6	2	2	4	4	1	3	2	6	171	-91	"DX1_8H_143_88"	"midzonal"	"Layer 3"
"DX1_8H_198_111"	1	2	4	0	1	5	8	5	2	0	0	1	3	4	0	4	1	1	4	5	5	7	8	8	1	0	2	2	5	2	3	1	226	-68	"DX1_8H_198_111"	"midzonal"	"Layer 5"
"DX1_8H_199_178"	0	0	0	5	5	3	3	2	2	0	0	5	4	2	2	0	2	2	3	3	2	2	3	3	0	2	0	4	3	4	4	4	227	-1	"DX1_8H_199_178"	"pericentral"	"Layer 2"
"DX1_8H_283_147"	0	3	3	3	3	7	7	7	2	0	0	5	4	2	4	0	2	3	3	3	2	2	3	3	0	1	0	1	4	1	7	2	311	-32	"DX1_8H_283_147"	"pericentral"	"Layer 2"
"DX1_8H_195_82"	1	2	4	2	1	5	5	1	0	2	1	0	1	0	5	3	1	1	4	4	4	4	4	4	2	0	2	0	5	2	3	0	223	-97	"DX1_8H_195_82"	"periportal"	"Layer 7"
"DX1_8H_256_180"	0	0	0	5	0	3	3	3	2	0	0	5	4	2	2	0	1	3	3	3	3	3	3	3	2	2	4	4	1	3	2	6	284	1	"DX1_8H_256_180"	"midzonal"	"Layer 3"
"DX1_8H_160_225"	1	2	1	4	6	4	0	4	1	1	2	2	0	3	3	5	1	1	4	4	4	4	4	4	1	3	3	3	2	7	0	3	188	46	"DX1_8H_160_225"	"midzonal"	"Layer 6"
"DX1_8H_184_232"	0	0	0	5	5	2	2	2	2	0	0	5	4	2	2	7	2	3	3	3	2	2	3	3	0	2	4	4	1	4	4	4	212	53	"DX1_8H_184_232"	"pericentral"	"Layer 2"
"DX1_8H_204_252"	1	2	4	2	1	5	5	5	0	2	1	0	2	0	1	1	1	1	4	4	4	4	4	4	1	0	1	0	0	0	1	0	232	73	"DX1_8H_204_252"	"periportal"	"Layer 8"
"DX1_8H_235_136"	0	0	0	5	5	3	2	3	2	0	0	1	3	4	0	4	1	3	1	1	1	1	1	1	2	2	2	4	5	3	2	6	263	-43	"DX1_8H_235_136"	"midzonal"	"Layer 3"
"DX1_8H_114_119"	2	1	1	4	6	4	0	4	1	1	2	2	0	3	3	5	1	1	4	5	5	7	8	8	1	3	3	3	2	7	0	3	142	-60	"DX1_8H_114_119"	"midzonal"	"Layer 6"
"DX1_8H_277_164"	1	3	4	0	0	3	8	3	2	0	0	1	3	4	0	4	1	3	1	1	1	1	6	6	2	2	2	4	1	3	2	6	305	-15	"DX1_8H_277_164"	"midzonal"	"Layer 4"
